,Island,Shannon
Pa-HA-01,Hantu,1.47632174468504
Pa-HA-02,Hantu,2.20512810769316
Pa-HA-03,Hantu,0.623899575194572
Pa-HA-04,Hantu,1.04290310334029
Pa-HA-05,Hantu,1.05601602754171
Pa-JO-01,Jong,2.0205980564538
Pa-JO-02,Jong,1.26962035858965
Pa-JO-03,Jong,1.56711898207194
Pa-JO-04,Jong,1.70284433239151
Pa-JO-05,Jong,1.35824125139297
Pa-JO-06,Jong,1.69891144935407
Pa-JO-07,Jong,1.60044430862284
Pa-JO-08,Jong,1.30228810799387
Pa-JO-09,Jong,1.43510329196794
Pa-KU-01,Kusu,1.95576587936599
Pa-KU-02,Kusu,1.64169293158069
Pa-KU-03,Kusu,1.25848562163951
Pa-KU-04,Kusu,1.61681658307511
Pa-KU-05,Kusu,1.91245272739664
Pa-KU-06,Kusu,1.02918296237331
Pa-KU-07,Kusu,1.37414575202612
Pa-KU-08,Kusu,0.944625817247129
Pa-KU-09,Kusu,1.00026823459743
Pa-KU-10,Kusu,1.16457125285532
Pa-KU-11,Kusu,0.795908112987267
Pa-KU-12,Kusu,1.10504664905325
Pa-KU-13,Kusu,0.422591255994307
Pa-KU-14,Kusu,1.14412317051187
Pa-KU-15,Kusu,1.1308955402127
Pa-KU-16,Kusu,0.771443859095575
Pa-KU-17,Kusu,1.35427509292051
Pa-KU-18,Kusu,1.00586451448011
Pa-KU-19,Kusu,1.11382708101636
Pa-KU-20,Kusu,0.444268654581768
Pa-RA-01,Raffles Lighthouse,1.25891799148823
Pa-RA-02,Raffles Lighthouse,1.01329553270752
Pa-RA-03,Raffles Lighthouse,0.692501242312792
Pa-RA-04,Raffles Lighthouse,0.470207935612495
Pa-RA-05,Raffles Lighthouse,1.40096193900905
Pa-RA-06,Raffles Lighthouse,1.94498235795017
Pa-RA-07,Raffles Lighthouse,0.597432965411356
Pa-RA-08,Raffles Lighthouse,0.341731282220246
Pa-RA-09,Raffles Lighthouse,0.679852999510756
Pa-RA-10,Raffles Lighthouse,2.04374990165189
Pa-RA-11,Raffles Lighthouse,0.790312451442513
Pa-RA-12,Raffles Lighthouse,0.899436362585904
Pa-RA-13,Raffles Lighthouse,1.77539737488189
Pa-RA-14,Raffles Lighthouse,0.137462667628569
Pa-RA-15,Raffles Lighthouse,0.562335144618808
Pa-RA-16,Raffles Lighthouse,1.49872139113177
Pa-RA-17,Raffles Lighthouse,1.25086596295217
Pa-RA-18,Raffles Lighthouse,0.859442264895988
Pa-RA-19,Raffles Lighthouse,1.75190093519446
Pa-RA-20,Raffles Lighthouse,1.4345504180386
Pa-Se-01,Semakau,1.10801590571093
Pa-Se-02,Semakau,0.0920395501857889
Pa-Se-03,Semakau,2.04824067377889
Pa-Se-04,Semakau,0.371263264603856
Pa-Se-05,Semakau,1.04403264138179
Pa-Se-06,Semakau,0.587742732413849
Pa-Se-07,Semakau,1.99558365088446
Pa-Se-08,Semakau,1.35240919297932
Pa-Se-10,Semakau,1.07816583934317
Pa-Se-11,Semakau,0.993739088026591
Pa-Se-12,Semakau,0.724605900949038
Pa-SI-01,Sisters,1.3512931762451
Pa-SI-02,Sisters,0.811981468947399
Pa-SI-03,Sisters,1.45592165171801
Pa-SI-04,Sisters,1.52588113702382
Pa-SI-05,Sisters,2.2149848533675
Pa-SI-06,Sisters,1.7901813501415
Pa-SI-07,Sisters,2.04696654893745
Pa-SI-08,Sisters,0.931857695947783
Pa-SI-09,Sisters,1.59395763029053
Pa-SI-10,Sisters,1.18263769461484
Pa-SI-11,Sisters,2.00502648344516
Pa-SI-12,Sisters,1.68322957077233
Pa-SI-13,Sisters,1.99083765116119
Pa-SI-14,Sisters,1.40117158821262
Pa-SI-15,Sisters,0.305366208784878
Pa-SI-16,Sisters,0.589725108974708
Pa-SI-17,Sisters,1.20121248245161
Pa-SI-18,Sisters,0.693481458179135
Pa-SI-19,Sisters,1.26169465888071
Pa-SI-20,Sisters,0.844332366138777
Pa-SJ-01,St. John,1.78532860156954
Pa-SS-01,Sultan Shoal,0.906462462785062
Pa-TPT-01,TPT,1.34533190388446
Pa-TPT-02,TPT,0.443382097119772
Pa-TPT-03,TPT,1.32355430048944
Pa-TPT-04,TPT,0.746636241127526
Pa-TPT-11,TPT,1.26415414644709
Pa-TPT-12,TPT,1.46707200496529
Pa-TPT-13,TPT,1.35442236396758
Pa-TPT-14,TPT,0.944210116642464
Pa-TPT-15,TPT,1.28367697781442
Pa-TPT-16,TPT,1.44202676563102
