Sl_no,OTU_ID,taxonomy
1,1,Fungi NA NA NA NA NA NA
2,2,Fungi Ascomycota Dothideomycetes Capnodiales Mycosphaerellaceae Mycosphaerella molleriana
3,3,Fungi Basidiomycota Agaricomycetes Agaricales Physalacriaceae Flammulina velutipes
4,4,Fungi NA NA NA NA NA NA
5,5,Fungi Basidiomycota Agaricomycetes Agaricales Physalacriaceae Flammulina velutipes
6,6,Fungi NA NA NA NA NA NA
7,7,Fungi Ascomycota Eurotiomycetes Eurotiales Aspergillaceae Aspergillus penicillioides
8,8,Fungi Ascomycota Saccharomycetes Saccharomycetales Saccharomycetales_fam_Incertae_sedis Candida orthopsilosis
9,9,Fungi NA NA NA NA NA NA
10,10,Fungi Basidiomycota Agaricomycetes Polyporales Schizophyllaceae Schizophyllum commune
12,12,Fungi Ascomycota Saccharomycetes Saccharomycetales Saccharomycetales_fam_Incertae_sedis Candida parapsilosis
13,13,Fungi NA NA NA NA NA NA
14,14,Fungi Ascomycota Eurotiomycetes Eurotiales Aspergillaceae Penicillium citrinum
15,15,Fungi Ascomycota Eurotiomycetes Eurotiales Aspergillaceae Aspergillus sydowii
16,16,Fungi Ascomycota Eurotiomycetes Eurotiales Aspergillaceae Aspergillus ruber
17,17,Fungi Ascomycota Dothideomycetes Pleosporales Massarinaceae Byssothecium NA
20,20,Fungi NA NA NA NA NA NA
22,22,Fungi Ascomycota Eurotiomycetes Eurotiales Trichocomaceae Talaromyces stollii
24,24,Fungi Basidiomycota NA NA NA NA NA
26,26,Fungi Ascomycota Dothideomycetes Pleosporales Lophiostomataceae Lophiostoma cynaroidis
28,28,Fungi Ascomycota Dothideomycetes Capnodiales Cladosporiaceae Cladosporium delicatulum
30,30,Fungi Ascomycota Eurotiomycetes Eurotiales Aspergillaceae Aspergillus penicillioides
44,44,Fungi Ascomycota Dothideomycetes Pleosporales Pleosporaceae Stemphylium herbarum
47,47,Fungi NA NA NA NA NA NA
50,50,Fungi Ascomycota Dothideomycetes Pleosporales Pleosporaceae Alternaria alternata
55,55,Fungi NA NA NA NA NA NA
56,56,Fungi NA NA NA NA NA NA
67,67,Fungi Ascomycota Eurotiomycetes Eurotiales Aspergillaceae Aspergillus sydowii
73,73,Fungi Ascomycota Eurotiomycetes Eurotiales Aspergillaceae Aspergillus gracilis
74,74,Fungi Ascomycota Eurotiomycetes Eurotiales Aspergillaceae Aspergillus proliferans
94,94,Fungi NA NA NA NA NA NA
115,115,Fungi Basidiomycota NA NA NA NA NA
126,126,Fungi Ascomycota Eurotiomycetes Eurotiales Aspergillaceae Aspergillus sydowii
133,133,Fungi NA NA NA NA NA NA
135,135,Fungi NA NA NA NA NA NA
162,162,Fungi NA NA NA NA NA NA
168,168,Fungi Ascomycota Dothideomycetes Capnodiales Cladosporiaceae Cladosporium dominicanum
173,173,Fungi NA NA NA NA NA NA
176,176,Fungi NA NA NA NA NA NA
198,198,Fungi NA NA NA NA NA NA
200,200,Fungi Ascomycota Dothideomycetes Dothideales Dothideales_fam_Incertae_sedis Hortaea werneckii
225,225,Fungi NA NA NA NA NA NA
244,244,Fungi Ascomycota Dothideomycetes Capnodiales Cladosporiaceae Cladosporium halotolerans
248,248,Fungi Ascomycota Dothideomycetes Capnodiales Mycosphaerellaceae Phaeophleospora hymenocallidicola
270,270,Fungi NA NA NA NA NA NA
288,288,Fungi NA NA NA NA NA NA
302,302,Fungi NA NA NA NA NA NA
336,336,Fungi Ascomycota Dothideomycetes Dothideales Dothideales_fam_Incertae_sedis Hortaea werneckii
438,438,Fungi Ascomycota Eurotiomycetes Eurotiales Aspergillaceae Penicillium oxalicum
