"","input","filtered","nonchim","total.loss.proportion"
"Pa-Blank-01",27,14,14,0.481481481481481
"Pa-Blank-02",16,10,10,0.375
"Pa-Blank-03",12,4,4,0.666666666666667
"Pa-Blank-04",44,23,23,0.477272727272727
"Pa-Blank-05",94,43,43,0.542553191489362
"Pa-Blank-06",8,5,5,0.375
"Pa-HA-01",5151,3889,3889,0.245000970685304
"Pa-HA-02",3766,2758,2677,0.267657992565056
"Pa-HA-03",357,323,323,0.0952380952380952
"Pa-HA-04",133,104,104,0.218045112781955
"Pa-HA-05",1186,958,958,0.192242833052277
"Pa-JO-01",1569,1179,1179,0.248565965583174
"Pa-JO-02",2208,1578,1578,0.285326086956522
"Pa-JO-03",3517,2650,2650,0.246516917827694
"Pa-JO-04",3257,2231,2231,0.315013816395456
"Pa-JO-05",5499,4339,4339,0.210947444989998
"Pa-JO-06",2637,2028,2028,0.23094425483504
"Pa-JO-07",3501,2337,2337,0.332476435304199
"Pa-JO-08",7202,6536,6478,0.0924743126909192
"Pa-JO-09",4600,2937,2937,0.361521739130435
"Pa-KU-01",6970,5315,5315,0.237446197991392
"Pa-KU-02",9121,7071,7071,0.224756057449841
"Pa-KU-03",3360,2422,2422,0.279166666666667
"Pa-KU-04",3919,2626,2626,0.329931104873692
"Pa-KU-05",3350,2668,2668,0.203582089552239
"Pa-KU-06",5615,4585,4585,0.183437221727516
"Pa-KU-07",2945,2431,2431,0.174533106960951
"Pa-KU-08",3758,2727,2727,0.274348057477382
"Pa-KU-09",2045,1722,1722,0.157946210268949
"Pa-KU-10",4092,3151,3151,0.229960899315738
"Pa-KU-11",16565,10499,9755,0.366193782070631
"Pa-KU-12",7968,6882,6882,0.136295180722892
"Pa-KU-13",2853,2428,2428,0.148966000701016
"Pa-KU-14",6315,4476,4476,0.291211401425178
"Pa-KU-15",3117,2579,2579,0.172601860763555
"Pa-KU-16",4544,3574,3574,0.213468309859155
"Pa-KU-17",2398,1761,1761,0.265638031693078
"Pa-KU-18",11848,7758,7758,0.345205941931128
"Pa-KU-19",3178,2241,2241,0.294839521711768
"Pa-KU-20",134,43,43,0.67910447761194
"Pa-RA-01",5006,3760,3760,0.248901318417899
"Pa-RA-02",1933,1327,1327,0.313502327987584
"Pa-RA-03",914,719,719,0.213347921225383
"Pa-RA-04",5690,4506,4506,0.208084358523726
"Pa-RA-05",2774,2329,2329,0.160418168709445
"Pa-RA-06",6126,5088,5088,0.169441723800196
"Pa-RA-07",17066,10529,10529,0.383042306340091
"Pa-RA-08",6495,4150,4150,0.361046959199384
"Pa-RA-09",5189,3697,3697,0.287531316245905
"Pa-RA-10",3239,2333,2333,0.279715961716579
"Pa-RA-11",2374,1958,1958,0.175231676495366
"Pa-RA-12",6114,5148,5148,0.157998037291462
"Pa-RA-13",4055,3387,3387,0.164734895191122
"Pa-RA-14",7756,6788,6788,0.124806601340897
"Pa-RA-15",15,12,12,0.2
"Pa-RA-16",1998,1538,1538,0.23023023023023
"Pa-RA-17",4506,3121,3121,0.307367953839325
"Pa-RA-18",23016,16265,16265,0.29331769204032
"Pa-RA-19",2547,2045,2045,0.19709462112289
"Pa-RA-20",10930,8341,8341,0.236870997255261
"Pa-Se-01",5300,4477,4477,0.155283018867925
"Pa-Se-02",6056,5560,5560,0.0819022457067371
"Pa-Se-03",3985,3076,3076,0.22810539523212
"Pa-Se-04",1308,782,782,0.402140672782875
"Pa-Se-05",4351,3610,3610,0.170305676855895
"Pa-Se-06",1105,695,695,0.3710407239819
"Pa-Se-07",3673,2752,2752,0.2507487067792
"Pa-Se-08",9206,6990,6901,0.240712578752987
"Pa-Se-10",3946,3471,3471,0.120375063355297
"Pa-Se-11",509,431,431,0.153241650294695
"Pa-Se-12",585,291,291,0.502564102564103
"Pa-SI-01",6954,6326,6326,0.090307736554501
"Pa-SI-02",1294,995,995,0.231066460587326
"Pa-SI-03",6244,5415,5415,0.132767456758488
"Pa-SI-04",4726,3696,3696,0.217943292424884
"Pa-SI-05",11788,10442,10442,0.114183915846624
"Pa-SI-06",12620,9540,9540,0.24405705229794
"Pa-SI-07",12658,9921,9921,0.216226892084058
"Pa-SI-08",83,55,55,0.337349397590361
"Pa-SI-09",10556,7899,7899,0.251705191360364
"Pa-SI-10",8599,7109,7109,0.1732759623212
"Pa-SI-11",12094,8792,8792,0.273027947742682
"Pa-SI-12",5912,4617,4617,0.21904600811908
"Pa-SI-13",3215,2330,2330,0.275272161741835
"Pa-SI-14",6059,4280,4280,0.293612807393959
"Pa-SI-15",3732,2595,2595,0.304662379421222
"Pa-SI-16",395,315,315,0.20253164556962
"Pa-SI-17",1340,1095,1095,0.182835820895522
"Pa-SI-18",4170,3520,3520,0.155875299760192
"Pa-SI-19",6998,5089,5089,0.272792226350386
"Pa-SI-20",4064,3070,3070,0.244586614173228
"Pa-SJ-01",2130,1610,1610,0.244131455399061
"Pa-SS-01",1997,1748,1748,0.124687030545819
"Pa-TPT-01",6151,5420,5420,0.118842464639896
"Pa-TPT-02",3019,2456,2456,0.186485591255383
"Pa-TPT-03",538,275,275,0.488847583643123
"Pa-TPT-04",4150,3446,3446,0.169638554216867
"Pa-TPT-11",10495,7015,7015,0.331586469747499
"Pa-TPT-12",6613,5609,5609,0.151822168456071
"Pa-TPT-13",3397,2397,2397,0.294377391816309
"Pa-TPT-14",6773,5442,5442,0.196515576553964
"Pa-TPT-15",2466,1466,1466,0.40551500405515
"Pa-TPT-16",4731,3863,3840,0.183470725005284
